 SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
           1        1000         100    number species of particle , NH, NR
   100000.00000000000        nproj
  MAX. PENETRATION DEPTH BACKSCATTERED PROJECILES, COMPONENT(1): Ar   
  DIMENSION:  lin.energy       depth   log_energ
                     100           3           0
 ENERGY [eV]   MAXIMUM PENETRATION DEPTH [A] (center layer)
  0.0000E+00  0.5000E+03  0.1000E+04  0.1000E+04
  0.5000E+01        1391           0           0        1391
  0.1000E+02         824           0           0         824
  0.1500E+02         615           0           0         615
  0.2000E+02         452           0           0         452
  0.2500E+02         408           0           0         408
  0.3000E+02         305           0           0         305
  0.3500E+02         285           0           0         285
  0.4000E+02         237           0           0         237
  0.4500E+02         173           0           0         173
  0.5000E+02         155           0           0         155
  0.5500E+02         126           0           0         126
  0.6000E+02         116           0           0         116
  0.6500E+02          97           0           0          97
  0.7000E+02          65           0           0          65
  0.7500E+02          52           0           0          52
  0.8000E+02          61           0           0          61
  0.8500E+02          53           0           0          53
  0.9000E+02          31           0           0          31
  0.9500E+02          23           0           0          23
  0.1000E+03          25           0           0          25
  0.1050E+03          10           0           0          10
  0.1100E+03          11           0           0          11
  0.1150E+03           8           0           0           8
  0.1200E+03           9           0           0           9
  0.1250E+03           4           0           0           4
  0.1300E+03           4           0           0           4
  0.1350E+03           2           0           0           2
  0.1400E+03           3           0           0           3
  0.1450E+03           2           0           0           2
  0.1500E+03           2           0           0           2
  0.1550E+03           0           0           0           0
  0.1600E+03           2           0           0           2
  0.1650E+03           0           0           0           0
  0.1700E+03           1           0           0           1
  0.1750E+03           0           0           0           0
  0.1800E+03           0           0           0           0
  0.1850E+03           0           0           0           0
  0.1900E+03           0           0           0           0
  0.1950E+03           0           0           0           0
  0.2000E+03           0           0           0           0
  0.2050E+03           0           0           0           0
  0.2100E+03           0           0           0           0
  0.2150E+03           0           0           0           0
  0.2200E+03           0           0           0           0
  0.2250E+03           0           0           0           0
  0.2300E+03           0           0           0           0
  0.2350E+03           0           0           0           0
  0.2400E+03           0           0           0           0
  0.2450E+03           0           0           0           0
  0.2500E+03           0           0           0           0
  0.2550E+03           0           0           0           0
  0.2600E+03           0           0           0           0
  0.2650E+03           0           0           0           0
  0.2700E+03           0           0           0           0
  0.2750E+03           0           0           0           0
  0.2800E+03           0           0           0           0
  0.2850E+03           0           0           0           0
  0.2900E+03           0           0           0           0
  0.2950E+03           0           0           0           0
  0.3000E+03           0           0           0           0
  0.3050E+03           0           0           0           0
  0.3100E+03           0           0           0           0
  0.3150E+03           0           0           0           0
  0.3200E+03           0           0           0           0
  0.3250E+03           0           0           0           0
  0.3300E+03           0           0           0           0
  0.3350E+03           0           0           0           0
  0.3400E+03           0           0           0           0
  0.3450E+03           0           0           0           0
  0.3500E+03           0           0           0           0
  0.3550E+03           0           0           0           0
  0.3600E+03           0           0           0           0
  0.3650E+03           0           0           0           0
  0.3700E+03           0           0           0           0
  0.3750E+03           0           0           0           0
  0.3800E+03           0           0           0           0
  0.3850E+03           0           0           0           0
  0.3900E+03           0           0           0           0
  0.3950E+03           0           0           0           0
  0.4000E+03           0           0           0           0
  0.4050E+03           0           0           0           0
  0.4100E+03           0           0           0           0
  0.4150E+03           0           0           0           0
  0.4200E+03           0           0           0           0
  0.4250E+03           0           0           0           0
  0.4300E+03           0           0           0           0
  0.4350E+03           0           0           0           0
  0.4400E+03           0           0           0           0
  0.4450E+03           0           0           0           0
  0.4500E+03           0           0           0           0
  0.4550E+03           0           0           0           0
  0.4600E+03           0           0           0           0
  0.4650E+03           0           0           0           0
  0.4700E+03           0           0           0           0
  0.4750E+03           0           0           0           0
  0.4800E+03           0           0           0           0
  0.4850E+03           0           0           0           0
  0.4900E+03           0           0           0           0
  0.4950E+03           0           0           0           0
  0.5000E+03           0           0           0           0
  0.0000E+00        5552           0           0        5552
