SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
      100000   maxnumber (backscattered-projectile)    
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1            3  0.10000E-02  0.16373E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.59766E+01  0.79406E+01  0.21359E+01  0.59766E+01  0.79406E+01  0.29028E+01  0.72977E+00  0.53016E+00  0.52906E+01  0.47276E+03  0.46427E+03  0.10868E+02  0.46427E+03  0.25166E+02
            1            6  0.10000E-02  0.16007E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55245E+01 -0.16888E+01 -0.12654E+02  0.55245E+01  0.66252E+01  0.12654E+02  0.68728E+00  0.46703E+00  0.12069E+02  0.46227E+03  0.45150E+03  0.21726E+02  0.44097E+03  0.52085E+02
            1            4  0.10000E-02  0.19038E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.45488E+01 -0.15100E+01  0.98132E+01  0.45488E+01  0.27731E+01  0.98132E+01  0.74119E+00  0.16220E+00  0.77822E+01  0.46748E+03  0.46229E+03  0.13482E+02  0.44905E+03  0.41091E+02
            1            2  0.10000E-02  0.82013E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.58861E+01  0.12433E+01 -0.70513E+01  0.58861E+01  0.29369E+01  0.70513E+01  0.72800E+00 -0.31714E+00  0.36970E+01  0.48363E+03  0.47542E+03  0.81701E+01  0.45992E+03  0.19016E+02
            1            2  0.10000E-02  0.56908E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57777E+01 -0.34488E+01 -0.52069E+01  0.57777E+01  0.34488E+01  0.52069E+01  0.75887E+00 -0.34155E+00  0.25041E+01  0.48673E+03  0.48580E+03  0.75802E+01  0.47424E+03  0.21947E+02
            1            9  0.10000E-02  0.59499E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.67331E+01 -0.70496E+01  0.10378E+02  0.67331E+01  0.73852E+01  0.10378E+02  0.91164E+00 -0.25900E-01  0.19422E+02  0.46667E+03  0.45314E+03  0.27376E+02  0.41987E+03  0.96780E+02
            1            8  0.20000E-02  0.24617E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.54467E+01 -0.65562E+01 -0.46788E+01  0.58235E+01  0.12265E+02  0.46788E+01  0.77866E+00  0.90606E+00  0.19323E+02  0.44700E+03  0.43256E+03  0.28379E+02  0.39665E+03  0.64288E+02
            1            3  0.20000E-02  0.38120E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.49578E+01  0.44574E+01  0.11538E+02  0.49578E+01  0.44574E+01  0.11538E+02  0.49218E+00  0.73702E-01  0.50279E+01  0.45148E+03  0.44762E+03  0.10402E+02  0.44762E+03  0.27153E+02
            1            8  0.20000E-02  0.28264E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.54653E+01  0.65651E+01 -0.20192E+02  0.54653E+01  0.65651E+01  0.20192E+02  0.66398E+00  0.79410E+00  0.18175E+02  0.44924E+03  0.43484E+03  0.22492E+02  0.40875E+03  0.80250E+02
            1            9  0.20000E-02  0.71627E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.51480E+01 -0.70018E+01  0.14266E+02  0.73037E+01  0.95450E+01  0.14266E+02  0.89033E+00  0.68154E+00  0.21949E+02  0.39601E+03  0.38367E+03  0.32366E+02  0.33786E+03  0.73016E+02
