SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          10   maxnumber (stopped-projectile)          
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1           11  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.14975E+02  0.77880E+01 -0.15164E+02  0.14975E+02  0.86147E+01  0.15164E+02  0.00000E+00  0.00000E+00  0.24871E+02  0.46642E+03  0.44997E+03  0.33576E+02  0.40107E+03  0.10650E+03
            1           16  0.10000E-02  0.14790E-01 -0.43949E+01  0.00000E+00  0.00000E+00  0.31157E+02  0.28603E+01 -0.92671E+01  0.31157E+02  0.28603E+01  0.11630E+02  0.00000E+00  0.00000E+00  0.37278E+02  0.44762E+03  0.42253E+03  0.52362E+02  0.31179E+03  0.15862E+03
            1            7  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.11404E+02  0.15226E+01 -0.24914E+00  0.11404E+02  0.23464E+01  0.17462E+01  0.00000E+00  0.00000E+00  0.15292E+02  0.48453E+03  0.47126E+03  0.15474E+02  0.44579E+03  0.13289E+03
            1            8  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.11977E+02  0.21430E+01 -0.57580E+01  0.11977E+02  0.30607E+01  0.57580E+01  0.00000E+00  0.00000E+00  0.16482E+02  0.47390E+03  0.45333E+03  0.26095E+02  0.42515E+03  0.87578E+02
            1            4  0.10000E-02  0.71054E-14 -0.43949E+01  0.00000E+00  0.00000E+00  0.46723E+01  0.58694E+01  0.12997E+01  0.46723E+01  0.58694E+01  0.19430E+01  0.00000E+00  0.00000E+00  0.81605E+01  0.48615E+03  0.47959E+03  0.13854E+02  0.46060E+03  0.50308E+02
            1            9  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.45475E+01  0.11525E+01 -0.49936E+01  0.90552E+01  0.14625E+01  0.68527E+01  0.00000E+00  0.00000E+00  0.18663E+02  0.47326E+03  0.45895E+03  0.26743E+02  0.41838E+03  0.12918E+03
            1           17  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.18236E+02 -0.15012E+02 -0.75951E+01  0.18236E+02  0.15465E+02  0.11115E+02  0.00000E+00  0.00000E+00  0.39629E+02  0.45205E+03  0.43235E+03  0.47948E+02  0.37237E+03  0.18672E+03
            1           11  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.11675E+02  0.88883E+01  0.11469E+02  0.12355E+02  0.88883E+01  0.11469E+02  0.00000E+00  0.00000E+00  0.23423E+02  0.46597E+03  0.45069E+03  0.34033E+02  0.41447E+03  0.14038E+03
            1           12  0.10000E-02  0.00000E+00 -0.43949E+01  0.00000E+00  0.00000E+00  0.20676E+02  0.15246E+01  0.10669E+02  0.20676E+02  0.43537E+01  0.10669E+02  0.00000E+00  0.00000E+00  0.27929E+02  0.46394E+03  0.44186E+03  0.36057E+02  0.40400E+03  0.15566E+03
            1           10  0.10000E-02  0.25266E-01 -0.43949E+01  0.00000E+00  0.00000E+00  0.18273E+02 -0.61300E+01 -0.34853E+00  0.18273E+02  0.65183E+01  0.26432E+01  0.00000E+00  0.00000E+00  0.22890E+02  0.46236E+03  0.45107E+03  0.37611E+02  0.42948E+03  0.85103E+02
 ende
          10   number particle from SDTrimSP
