SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          10   maxnumber (stopped-recoil E(start)>ED)  
        1000         100   NH NR
      species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E-02  0.72556E+02  0.34421E+00  0.39132E+00 -0.70173E+00  0.13201E+01  0.22149E+00 -0.58974E+01  0.16539E+01  0.86771E+00  0.51957E+01  0.00000E+00  0.00000E+00  0.60750E+01  0.67502E+02  0.58696E+02  0.28490E+01  0.54714E+02  0.68462E+02
            2            1  0.10000E-02  0.20501E+02  0.30334E+01 -0.22859E+00 -0.65743E+00  0.37138E+01 -0.37201E+01 -0.25861E+00  0.82989E+00  0.34915E+01  0.39882E+00  0.00000E+00  0.00000E+00  0.37865E+01  0.18360E+02  0.13473E+02  0.97168E+00  0.00000E+00  0.68264E+02
            2            1  0.10000E-02  0.12406E+03  0.48915E+01  0.22048E+01 -0.67230E+00  0.13150E+02  0.73859E+01  0.30605E+01  0.82586E+01  0.51811E+01  0.37328E+01  0.00000E+00  0.00000E+00  0.11506E+02  0.11594E+03  0.10164E+03  0.81220E+01  0.78094E+02  0.87037E+02
            2            1  0.10000E-02  0.98745E+02  0.66337E+01  0.33162E+01 -0.57878E+01  0.58541E+01  0.43061E+01 -0.16590E+02  0.15142E+01  0.98993E+00  0.10802E+02  0.00000E+00  0.00000E+00  0.11670E+02  0.91421E+02  0.82029E+02  0.73232E+01  0.29843E+02  0.10513E+03
            2            1  0.10000E-02  0.24266E+02  0.92109E+01  0.54270E+01 -0.50798E+01  0.13890E+02  0.77808E+01 -0.42887E+01  0.46793E+01  0.23539E+01  0.13832E+01  0.00000E+00  0.00000E+00  0.60105E+01  0.22798E+02  0.15193E+02  0.14671E+01  0.00000E+00  0.14140E+03
            2            1  0.10000E-02  0.21425E+02  0.12540E+02  0.95752E+01 -0.11070E+02  0.12782E+02  0.11112E+02 -0.11167E+02  0.24179E+00  0.15367E+01  0.97434E-01  0.00000E+00  0.00000E+00  0.15587E+01  0.17781E+02  0.13399E+02  0.57028E+00  0.00000E+00  0.92309E+02
            2            1  0.10000E-02  0.39520E+02  0.15605E+02  0.78307E+01 -0.15068E+02  0.18136E+02  0.62475E+01 -0.16412E+02  0.25315E+01  0.15833E+01  0.13439E+01  0.00000E+00  0.00000E+00  0.36956E+01  0.36461E+02  0.27791E+02  0.13521E+01  0.22389E+02  0.15263E+03
            2            1  0.10000E-02  0.38538E+02  0.77242E+01 -0.18631E+01 -0.13773E+01  0.90370E+01 -0.45589E+01 -0.93534E+00  0.13128E+01  0.26958E+01  0.44201E+00  0.00000E+00  0.00000E+00  0.32084E+01  0.37476E+02  0.30290E+02  0.10618E+01  0.26508E+02  0.71158E+02
            2            1  0.10000E-02  0.42063E+02  0.10527E+02 -0.12915E+01 -0.18809E+01  0.15041E+02 -0.32729E+01 -0.96629E+00  0.45137E+01  0.19815E+01  0.91460E+00  0.00000E+00  0.00000E+00  0.56259E+01  0.40322E+02  0.35307E+02  0.17407E+01  0.22559E+02  0.10609E+03
            2            1  0.10000E-02  0.25341E+02  0.12578E+02  0.10549E+01 -0.23531E+01  0.13984E+02  0.84640E+00  0.59581E+00  0.14061E+01  0.66759E+00  0.29489E+01  0.00000E+00  0.00000E+00  0.36520E+01  0.23706E+02  0.18152E+02  0.10938E+01  0.00000E+00  0.82075E+02
 ende
          10   number particle from SDTrimSP
