SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
          20           0   maxnumber history, 0...only projectiles
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         0         1         1         0        11         1        12         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  9.5728633E-02  9.9712268E-16  0.0000000E+00  4.7917294E+00  4.1997903E+02
         2  2.5161036E+00  8.0626334E-01 -6.4985726E-01  1.0652777E+01  3.9458895E+02
         3  4.4616567E+00  2.1366751E+00 -1.2985948E+00  1.6270892E+01  2.6488422E+02
         4  5.6646085E+00  3.1119572E+00 -3.4513862E+00  2.3709636E+01  2.4746346E+02
         5  6.8188003E+00  3.7159167E+00 -5.4389977E+00  3.0609124E+01  1.4468454E+02
         6  8.7034789E+00  5.2366032E+00 -6.1109072E+00  4.0157288E+01  1.1583783E+02
         7  1.0176503E+01  6.6806179E+00 -7.6349213E+00  5.1048821E+01  9.8513147E+01
         8  1.0814824E+01  7.6506017E+00 -9.8746676E+00  6.2673823E+01  7.5559055E+01
         9  1.2418062E+01  8.6147118E+00 -1.1414386E+01  7.5424939E+01  5.1909110E+01
        10  1.4059304E+01  8.2032060E+00 -1.3334959E+01  9.1693209E+01  4.1687666E+01
        11  1.4975043E+01  7.7879588E+00 -1.5163707E+01  1.0649939E+02  0.0000000E+00
    i_traj     ihist     iproj    parent     ncoll   species       ibn  termflag
         1         1         2         0        16         1        17         1
         k              x              y              z          ptime         energy
         0 -4.3949127E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0000000E+02
         1  2.0401780E-01  1.0211677E-15  0.0000000E+00  5.1160694E+00  4.9071752E+02
         2  2.7322320E+00 -5.4405337E-02 -3.3794497E-01  1.0368885E+01  4.7608432E+02
         3  5.2246882E+00 -5.7337643E-01 -8.2801034E-01  1.5788984E+01  4.6057335E+02
         4  7.6315800E+00 -9.2493259E-01 -1.4583455E+00  2.1131373E+01  4.1587494E+02
         5  1.0045644E+01 -4.4643357E-01 -2.1790557E+00  2.6869836E+01  3.6823166E+02
